Tabela,Data,Kurs średni,Zmiana
96/A/NBP/2022,2022-05-19,4.5303,2.05
95/A/NBP/2022,2022-05-18,4.4395,-0.33
94/A/NBP/2022,2022-05-17,4.4542,-0.09
93/A/NBP/2022,2022-05-16,4.4582,-0.58
92/A/NBP/2022,2022-05-13,4.4843,-0.39
91/A/NBP/2022,2022-05-12,4.502,0.72
90/A/NBP/2022,2022-05-11,4.47,0.39
89/A/NBP/2022,2022-05-10,4.4528,-1.21
88/A/NBP/2022,2022-05-09,4.5074,-0.27
87/A/NBP/2022,2022-05-06,4.5196,0.45
86/A/NBP/2022,2022-05-05,4.4995,-0.75
85/A/NBP/2022,2022-05-04,4.5333,-0.93
84/A/NBP/2022,2022-05-02,4.576,0.56
83/A/NBP/2022,2022-04-29,4.5504,-0.91
82/A/NBP/2022,2022-04-28,4.5921,-0.26
81/A/NBP/2022,2022-04-27,4.6042,1.65
80/A/NBP/2022,2022-04-26,4.5294,0.55
79/A/NBP/2022,2022-04-25,4.5047,0.26
78/A/NBP/2022,2022-04-22,4.493,0.04
77/A/NBP/2022,2022-04-21,4.4913,-0.3
76/A/NBP/2022,2022-04-20,4.5049,-0.62
75/A/NBP/2022,2022-04-19,4.533,-0.36
74/A/NBP/2022,2022-04-15,4.5493,-0.1
73/A/NBP/2022,2022-04-14,4.5539,-1.04
72/A/NBP/2022,2022-04-13,4.6016,0.02
71/A/NBP/2022,2022-04-12,4.6005,0.95
70/A/NBP/2022,2022-04-11,4.5574,-0.19
69/A/NBP/2022,2022-04-08,4.5663,-0.28
68/A/NBP/2022,2022-04-07,4.5793,0.22
67/A/NBP/2022,2022-04-06,4.5691,0.22
66/A/NBP/2022,2022-04-05,4.559,0.44
65/A/NBP/2022,2022-04-04,4.539,-0.09
64/A/NBP/2022,2022-04-01,4.5431,0.5
63/A/NBP/2022,2022-03-31,4.5207,0.36
62/A/NBP/2022,2022-03-30,4.5045,-1.67
61/A/NBP/2022,2022-03-29,4.5809,0.25
60/A/NBP/2022,2022-03-28,4.5697,-1.79
59/A/NBP/2022,2022-03-25,4.6528,0.25
58/A/NBP/2022,2022-03-24,4.6412,1.51
57/A/NBP/2022,2022-03-23,4.5722,0.17
56/A/NBP/2022,2022-03-22,4.5644,0.07
55/A/NBP/2022,2022-03-21,4.5614,-0.19
54/A/NBP/2022,2022-03-18,4.5701,1.27
53/A/NBP/2022,2022-03-17,4.5127,-0.93
52/A/NBP/2022,2022-03-16,4.555,-0.53
51/A/NBP/2022,2022-03-15,4.5793,-1.12
50/A/NBP/2022,2022-03-14,4.631,-1.24
49/A/NBP/2022,2022-03-11,4.689,-0.06
48/A/NBP/2022,2022-03-10,4.6917,-1.39
47/A/NBP/2022,2022-03-09,4.758,-2.06
46/A/NBP/2022,2022-03-08,4.8579,-1.77
45/A/NBP/2022,2022-03-07,4.9452,3.48
44/A/NBP/2022,2022-03-04,4.7787,1.61
43/A/NBP/2022,2022-03-03,4.7028,-0.39
42/A/NBP/2022,2022-03-02,4.7212,2.55
41/A/NBP/2022,2022-03-01,4.6037,1.22
40/A/NBP/2022,2022-02-28,4.5483,1.07
39/A/NBP/2022,2022-02-25,4.5001,0.43
38/A/NBP/2022,2022-02-24,4.4808,3.24
37/A/NBP/2022,2022-02-23,4.3401,-0.63
36/A/NBP/2022,2022-02-22,4.3676,0.8
35/A/NBP/2022,2022-02-21,4.3328,0.22
34/A/NBP/2022,2022-02-18,4.3233,0.38
33/A/NBP/2022,2022-02-17,4.307,0.85
32/A/NBP/2022,2022-02-16,4.2706,-0.58
31/A/NBP/2022,2022-02-15,4.2954,-1.82
30/A/NBP/2022,2022-02-14,4.375,2.33
29/A/NBP/2022,2022-02-11,4.2754,0.68
28/A/NBP/2022,2022-02-10,4.2465,-0.78
27/A/NBP/2022,2022-02-09,4.2798,-0.41
26/A/NBP/2022,2022-02-08,4.2973,-0.32
25/A/NBP/2022,2022-02-07,4.3112,0.15
24/A/NBP/2022,2022-02-04,4.3046,-1.4
23/A/NBP/2022,2022-02-03,4.3656,-0.31
22/A/NBP/2022,2022-02-02,4.379,-0.67
21/A/NBP/2022,2022-02-01,4.4087,-0.16
20/A/NBP/2022,2022-01-31,4.4156,0.16
19/A/NBP/2022,2022-01-28,4.4086,0.13
18/A/NBP/2022,2022-01-27,4.4029,-0.41
17/A/NBP/2022,2022-01-26,4.4211,0.11
16/A/NBP/2022,2022-01-25,4.4161,0.52
15/A/NBP/2022,2022-01-24,4.3932,0.33
14/A/NBP/2022,2022-01-21,4.3786,0.63
13/A/NBP/2022,2022-01-20,4.3511,-0.19
12/A/NBP/2022,2022-01-19,4.3594,0.36
11/A/NBP/2022,2022-01-18,4.3436,0.29
10/A/NBP/2022,2022-01-17,4.331,-0.36
9/A/NBP/2022,2022-01-14,4.3466,0.51
8/A/NBP/2022,2022-01-13,4.3244,0.12
7/A/NBP/2022,2022-01-12,4.3192,-0.25
6/A/NBP/2022,2022-01-11,4.33,-0.46
5/A/NBP/2022,2022-01-10,4.35,-0.5
4/A/NBP/2022,2022-01-07,4.372,-0.88
3/A/NBP/2022,2022-01-05,4.4106,0.04
2/A/NBP/2022,2022-01-04,4.409,-0.53
1/A/NBP/2022,2022-01-03,4.4326,-0.36
254/A/NBP/2021,2021-12-31,4.4484,0.5
253/A/NBP/2021,2021-12-30,4.4262,-0.23
252/A/NBP/2021,2021-12-29,4.4362,0.08
251/A/NBP/2021,2021-12-28,4.4328,-0.3
250/A/NBP/2021,2021-12-27,4.4463,0.01
